,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.12,-134.97,74.86,83,98,12.5,PF,1606267200
1,Goderich,43.75,-81.72,34.0,85,100,20.74,CA,1606267307
2,Cabadiangan,9.75,122.47,83.1,72,95,14.0,PH,1606267454
3,Nouadhibou,20.93,-17.03,71.6,46,87,9.17,MR,1606267264
4,Saldanha,-33.01,17.94,53.6,76,83,1.12,ZA,1606267455
5,Fortuna,40.6,-124.16,52.0,82,73,1.23,US,1606267455
6,Mount Gambier,-37.83,140.77,73.4,46,0,16.11,AU,1606267382
7,Jangaon,17.72,79.18,63.07,55,100,6.8,IN,1606267455
8,Puerto Ayora,-0.74,-90.35,72.0,88,61,7.0,EC,1606267229
9,Souillac,-20.52,57.52,75.2,88,75,11.41,MU,1606267456
10,Talnakh,69.49,88.4,15.8,92,75,11.18,RU,1606267456
11,George Town,5.41,100.34,78.8,100,20,5.01,MY,1606267252
12,Guanay,-15.5,-67.88,81.9,52,40,1.57,BO,1606267457
13,Butaritari,3.07,172.79,82.29,78,100,19.71,KI,1606267239
14,Burgos,42.34,-3.71,37.4,86,90,7.67,ES,1606267457
15,Bluff,-46.6,168.33,58.71,59,0,12.71,NZ,1606267457
16,Albany,42.6,-73.97,32.0,62,100,1.01,US,1606267457
17,Mount Isa,-20.73,139.5,100.4,13,8,5.82,AU,1606267458
18,Jilib,0.49,42.79,75.02,93,0,3.2,SO,1606267458
19,Chilca,-12.52,-76.74,64.4,72,0,13.87,PE,1606267459
20,Acarí,-15.43,-74.62,65.89,66,96,2.84,PE,1606267459
21,Punta Arenas,-53.15,-70.92,46.4,75,75,13.87,CL,1606267260
22,Umluj,25.02,37.27,75.42,59,0,2.98,SA,1606267459
23,Yellowknife,62.46,-114.35,14.0,85,90,11.41,CA,1606267459
24,Tura,25.52,90.22,59.97,90,80,3.83,IN,1606267267
25,Ushuaia,-54.8,-68.3,44.6,65,75,6.93,AR,1606267189
26,Jamestown,42.1,-79.24,37.99,69,90,5.82,US,1606267225
27,Hong Kong,22.29,114.16,73.0,80,30,4.0,HK,1606267386
28,Marsh Harbour,26.54,-77.06,73.06,76,0,22.24,BS,1606267461
29,Bambous Virieux,-20.34,57.76,75.2,88,75,11.41,MU,1606267461
30,Vaini,-21.2,-175.2,80.6,78,75,9.17,TO,1606267461
31,Klaksvík,62.23,-6.59,37.4,100,0,4.25,FO,1606267461
32,Wagga Wagga,-35.12,147.37,81.0,41,0,8.05,AU,1606267461
33,Esim,4.87,-2.24,78.55,86,2,6.38,GH,1606267462
34,Mataura,-46.19,168.86,70.21,36,0,5.06,NZ,1606267218
35,Kiama,-34.68,150.87,72.0,78,29,7.18,AU,1606267462
36,Hofn,64.25,-15.21,34.83,82,0,18.03,IS,1606267462
37,Bredasdorp,-34.53,20.04,55.4,66,15,6.93,ZA,1606267214
38,Qaanaaq,77.48,-69.36,8.06,90,100,0.96,GL,1606267463
39,Chui,-33.7,-53.46,73.2,72,1,13.27,UY,1606267463
40,Kemalpaşa,38.43,27.42,51.8,61,0,19.46,TR,1606267463
41,Margate,51.38,1.39,50.0,78,100,5.01,GB,1606267463
42,Port Alfred,-33.59,26.89,62.64,67,100,18.77,ZA,1606267464
43,Zhigansk,66.77,123.37,-2.99,91,100,14.47,RU,1606267258
44,Chennai,13.09,80.28,78.8,94,90,13.87,IN,1606267220
45,Baruun-Urt,46.68,113.28,9.75,92,0,4.83,MN,1606267464
46,San Quintín,30.48,-115.95,60.82,75,0,8.61,MX,1606267465
47,Westport,41.14,-73.36,41.0,52,1,4.7,US,1606267465
48,Road Town,18.42,-64.62,80.01,88,20,3.36,VG,1606267390
49,Atuona,-9.8,-139.03,78.73,73,35,12.88,PF,1606267232
50,Laas,46.62,10.7,28.4,86,5,2.24,IT,1606267466
51,Mahébourg,-20.41,57.7,75.2,88,75,11.41,MU,1606267466
52,Muslyumovo,55.3,53.19,25.79,97,100,13.33,RU,1606267466
53,Komatipoort,-25.43,31.95,73.99,79,86,12.82,ZA,1606267466
54,Mar del Plata,-38.0,-57.56,66.99,93,0,3.36,AR,1606267467
55,Dingle,11.0,122.67,80.78,83,41,16.17,PH,1606267467
56,Yangi Marg`ilon,40.43,71.72,24.8,92,75,2.15,UZ,1606267467
57,Rochegda,62.8,43.25,27.28,98,99,5.1,RU,1606267467
58,Port Keats,-14.25,129.55,92.39,54,100,8.01,AU,1606267467
59,Batagay-Alyta,67.8,130.41,-6.48,83,54,2.42,RU,1606267468
60,Nikolskoye,59.7,30.79,35.01,97,75,4.47,RU,1606267468
61,Bethel,41.37,-73.41,35.01,77,95,3.71,US,1606267468
